#cm,K,K,K,K,K,K,K,K,K,K,K,K
# r, T_1p0D, T_1p5D, T_2p0D, T_2p5D, T_3p0D, T_3p5D, T_rms_1p0D, T_rms_1p5D, T_rms_2p0D, T_rms_2p5D, T_rms_3p0D, T_rms_3p5D
 -5.0000000E-001, 1.3154426E+003, 1.3900919E+003, 1.3688067E+003, 1.1956054E+003, 9.9620849E+002, 8.2140898E+002, 7.3847149E+001, 6.8169234E+001, 1.6084207E+002, 2.9146282E+002, 2.9552373E+002, 2.4689461E+002
  1.5000000E+000, 1.3202043E+003, 1.3851338E+003, 1.3777047E+003, 1.1939413E+003, 9.8728103E+002, 8.2230106E+002, 8.3199789E+001, 9.4563586E+001, 1.5959354E+002, 2.8901213E+002, 2.8897579E+002, 2.3869504E+002
  3.5000000E+000, 1.2926850E+003, 1.1236315E+003, 1.0164392E+003, 8.8951097E+002, 7.8031668E+002, 6.9073194E+002, 2.3331850E+002, 2.9768674E+002, 3.2573143E+002, 3.0530467E+002, 2.5698477E+002, 2.0774234E+002
  5.5000000E+000, 6.5402752E+002, 6.3494299E+002, 6.3749761E+002, 6.2062626E+002, 5.8594546E+002, 5.5521172E+002, 2.0094628E+002, 2.1959629E+002, 2.4595233E+002, 2.2662975E+002, 1.9447235E+002, 1.7020082E+002
  7.5000000E+000, 3.8288021E+002, 4.0329573E+002, 4.2692539E+002, 4.5145385E+002, 4.5488662E+002, 4.5141355E+002, 7.0252958E+001, 9.3160016E+001, 1.1680201E+002, 1.3522217E+002, 1.3395238E+002, 1.3161055E+002
  9.5000000E+000, 3.0937618E+002, 3.2159513E+002, 3.3690234E+002, 3.5542120E+002, 3.6362228E+002, 3.7738577E+002, 1.8835797E+001, 3.7416481E+001, 5.4827993E+001, 6.9466248E+001, 7.2477203E+001, 8.5433015E+001
  1.1500000E+001, 2.9667955E+002, 2.9949142E+002, 3.0419553E+002, 3.1263969E+002, 3.1504784E+002, 3.2426163E+002, 1.6884817E+000, 9.4726068E+000, 1.7988960E+001, 2.9743685E+001, 3.1435280E+001, 3.8830172E+001
