Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   23, 3.339E+02, 3.656E+01, 9.571E+00, 4.277E+01, 3.633E+01, 2.071E+01, 1.122E+02, 0.000E+00, 7.808E+02, 4.255E-01, 1.492E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   24, 3.333E+02, 3.584E+01, 9.392E+00, 4.144E+01, 3.407E+01, 2.034E+01, 9.904E+01, 0.000E+00, 7.626E+02, 4.122E-01, 1.529E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   25, 3.321E+02, 3.454E+01, 9.055E+00, 3.716E+01, 3.458E+01, 1.817E+01, 1.098E+02, 0.000E+00, 7.408E+02, 4.519E-01, 1.549E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   26, 3.385E+02, 3.437E+01, 9.148E+00, 3.737E+01, 3.472E+01, 1.832E+01, 1.030E+02, 0.000E+00, 7.146E+02, 4.550E-01, 1.575E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   27, 3.449E+02, 3.416E+01, 8.901E+00, 3.724E+01, 3.469E+01, 1.842E+01, 9.982E+01, 0.000E+00, 7.461E+02, 4.347E-01, 1.541E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   28, 3.280E+02, 3.521E+01, 9.340E+00, 4.112E+01, 3.473E+01, 2.034E+01, 9.859E+01, 0.000E+00, 7.715E+02, 3.981E-01, 1.526E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   29, 3.276E+02, 3.458E+01, 8.955E+00, 3.765E+01, 3.343E+01, 1.876E+01, 1.050E+02, 0.000E+00, 7.377E+02, 4.375E-01, 1.561E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   30, 3.269E+02, 3.374E+01, 8.662E+00, 3.398E+01, 3.375E+01, 1.706E+01, 9.868E+01, 0.000E+00, 6.987E+02, 2.440E+00, 1.612E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   31, 3.368E+02, 4.158E+01, 9.171E+00, 3.553E+01, 3.470E+01, 9.616E+01, 8.751E+01, 0.000E+00, 7.492E+02, 1.856E+01, 1.456E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   32, 3.270E+02, 3.367E+01, 8.921E+00, 3.374E+01, 3.375E+01, 1.693E+01, 9.791E+01, 0.000E+00, 6.863E+02, 2.405E+00, 1.625E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   33, 3.328E+02, 3.463E+01, 9.143E+00, 3.689E+01, 3.412E+01, 1.857E+01, 1.056E+02, 0.000E+00, 7.408E+02, 4.306E-01, 1.552E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   34, 3.337E+02, 3.489E+01, 9.231E+00, 3.719E+01, 3.321E+01, 1.920E+01, 1.176E+02, 0.000E+00, 7.114E+02, 4.284E-01, 1.568E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   35, 3.212E+02, 4.009E+01, 9.329E+00, 3.505E+01, 3.611E+01, 9.934E+01, 1.048E+02, 0.000E+00, 7.445E+02, 2.031E+01, 1.455E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   36, 3.101E+02, 3.924E+01, 9.514E+00, 3.584E+01, 3.587E+01, 9.838E+01, 1.034E+02, 0.000E+00, 7.142E+02, 1.934E+01, 1.500E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   37, 3.207E+02, 3.437E+01, 9.239E+00, 3.765E+01, 3.447E+01, 1.876E+01, 1.064E+02, 0.000E+00, 7.131E+02, 4.344E-01, 1.590E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   38, 3.317E+02, 3.439E+01, 8.986E+00, 3.748E+01, 3.332E+01, 1.899E+01, 1.095E+02, 0.000E+00, 7.436E+02, 4.368E-01, 1.547E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   39, 3.294E+02, 3.372E+01, 8.694E+00, 3.369E+01, 3.348E+01, 1.708E+01, 9.056E+01, 0.000E+00, 7.018E+02, 2.199E+00, 1.615E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   40, 3.256E+02, 4.011E+01, 9.381E+00, 3.540E+01, 3.406E+01, 9.714E+01, 9.104E+01, 0.000E+00, 7.483E+02, 1.899E+01, 1.465E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   41, 3.305E+02, 3.354E+01, 8.830E+00, 3.380E+01, 3.349E+01, 1.683E+01, 9.020E+01, 0.000E+00, 6.757E+02, 1.904E+00, 1.641E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   42, 3.400E+02, 3.442E+01, 8.925E+00, 3.776E+01, 3.453E+01, 1.840E+01, 1.085E+02, 0.000E+00, 7.435E+02, 4.330E-01, 1.539E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   43, 3.456E+02, 3.555E+01, 9.263E+00, 4.080E+01, 3.461E+01, 2.017E+01, 1.068E+02, 0.000E+00, 7.613E+02, 4.097E-01, 1.511E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
