Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   23, 3.282E+02, 3.391E+01, 9.489E+00, 4.251E+01, 3.557E+01, 2.107E+01, 8.839E+01, 0.000E+00, 6.077E+00, 4.448E-01, 1.283E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   24, 3.227E+02, 3.333E+01, 9.183E+00, 4.108E+01, 3.345E+01, 2.065E+01, 8.387E+01, 0.000E+00, 6.018E+00, 4.266E-01, 1.298E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   25, 3.258E+02, 3.263E+01, 8.887E+00, 3.733E+01, 3.419E+01, 1.833E+01, 9.056E+01, 0.000E+00, 6.047E+00, 4.524E-01, 1.294E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   26, 3.297E+02, 3.290E+01, 9.039E+00, 3.750E+01, 3.422E+01, 1.882E+01, 8.933E+01, 0.000E+00, 6.284E+00, 4.396E-01, 1.290E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   27, 3.392E+02, 3.267E+01, 8.810E+00, 3.707E+01, 3.391E+01, 1.868E+01, 8.017E+01, 0.000E+00, 6.050E+00, 4.414E-01, 1.291E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   28, 3.193E+02, 3.358E+01, 9.190E+00, 4.112E+01, 3.422E+01, 2.002E+01, 8.288E+01, 0.000E+00, 6.090E+00, 4.098E-01, 1.302E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   29, 3.197E+02, 3.257E+01, 8.823E+00, 3.753E+01, 3.280E+01, 1.879E+01, 8.793E+01, 0.000E+00, 5.999E+00, 4.357E-01, 1.304E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   30, 3.213E+02, 3.225E+01, 8.570E+00, 3.399E+01, 3.304E+01, 1.727E+01, 8.805E+01, 0.000E+00, 6.228E+00, 2.362E+00, 1.305E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   31, 3.320E+02, 3.881E+01, 8.995E+00, 3.474E+01, 3.380E+01, 9.510E+01, 8.386E+01, 0.000E+00, 7.720E+00, 1.635E+01, 1.197E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   32, 3.170E+02, 3.232E+01, 8.748E+00, 3.369E+01, 3.293E+01, 1.707E+01, 9.026E+01, 0.000E+00, 6.301E+00, 2.261E+00, 1.308E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   33, 3.227E+02, 3.269E+01, 8.976E+00, 3.705E+01, 3.362E+01, 1.878E+01, 8.465E+01, 0.000E+00, 6.018E+00, 4.316E-01, 1.304E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   34, 3.253E+02, 3.303E+01, 9.121E+00, 3.734E+01, 3.267E+01, 1.911E+01, 9.843E+01, 0.000E+00, 6.347E+00, 4.333E-01, 1.287E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   35, 3.157E+02, 3.842E+01, 9.144E+00, 3.418E+01, 3.531E+01, 9.652E+01, 9.889E+01, 0.000E+00, 7.727E+00, 1.640E+01, 1.196E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   36, 2.980E+02, 3.798E+01, 9.247E+00, 3.550E+01, 3.514E+01, 9.631E+01, 1.017E+02, 0.000E+00, 7.245E+00, 1.696E+01, 1.210E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   37, 3.083E+02, 3.298E+01, 9.127E+00, 3.781E+01, 3.397E+01, 1.853E+01, 9.280E+01, 0.000E+00, 6.308E+00, 4.240E-01, 1.308E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   38, 3.224E+02, 3.275E+01, 8.926E+00, 3.776E+01, 3.290E+01, 1.890E+01, 8.839E+01, 0.000E+00, 6.053E+00, 4.507E-01, 1.300E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   39, 3.241E+02, 3.218E+01, 8.574E+00, 3.383E+01, 3.272E+01, 1.723E+01, 7.917E+01, 0.000E+00, 6.219E+00, 2.370E+00, 1.312E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   40, 3.146E+02, 3.851E+01, 9.182E+00, 3.495E+01, 3.322E+01, 9.498E+01, 8.984E+01, 0.000E+00, 7.472E+00, 1.649E+01, 1.209E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   41, 3.229E+02, 3.216E+01, 8.702E+00, 3.378E+01, 3.273E+01, 1.714E+01, 8.007E+01, 0.000E+00, 6.295E+00, 1.997E+00, 1.313E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   42, 3.316E+02, 3.271E+01, 8.908E+00, 3.762E+01, 3.391E+01, 1.850E+01, 8.765E+01, 0.000E+00, 6.025E+00, 4.316E-01, 1.291E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   43, 3.404E+02, 3.342E+01, 9.173E+00, 4.047E+01, 3.378E+01, 2.006E+01, 8.426E+01, 0.000E+00, 6.028E+00, 4.157E-01, 1.280E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   44, 3.128E+02, 3.289E+01, 8.865E+00, 3.741E+01, 3.344E+01, 1.863E+01, 8.792E+01, 0.000E+00, 6.133E+00, 4.511E-01, 1.310E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
