#cm,K,K,K,K,K,K,K,K,K,K,K,K
#r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D
-5.0000000E-001, 1.3298146E+003, 1.3984478E+003, 1.3829565E+003, 1.2051218E+003, 9.8761624E+002, 8.0883259E+002, 9.0506429E+001, 9.6156350E+001, 1.8024580E+002, 2.8772479E+002, 2.8858252E+002, 2.4199754E+002
 1.5000000E+000, 1.3282560E+003, 1.3948436E+003, 1.3842785E+003, 1.2113204E+003, 1.0050077E+003, 8.2288385E+002, 9.4384826E+001, 1.0685226E+002, 1.8190373E+002, 2.9255025E+002, 2.9781923E+002, 2.5026646E+002
 3.5000000E+000, 1.3066544E+003, 1.1374118E+003, 1.0181425E+003, 8.8601254E+002, 7.8868995E+002, 7.0420058E+002, 2.5990827E+002, 3.0153688E+002, 3.2849602E+002, 3.2738546E+002, 2.8084896E+002, 2.3542489E+002
 5.5000000E+000, 6.4796949E+002, 6.1499351E+002, 6.1185520E+002, 6.0440905E+002, 5.9007302E+002, 5.7278243E+002, 1.9810124E+002, 2.1274455E+002, 2.3523632E+002, 2.3947703E+002, 2.2159768E+002, 1.9573893E+002
 7.5000000E+000, 3.7972118E+002, 3.9439525E+002, 4.1291304E+002, 4.4595736E+002, 4.6155439E+002, 4.7044203E+002, 7.6687227E+001, 9.4430809E+001, 1.1590044E+002, 1.5329601E+002, 1.5505627E+002, 1.4733535E+002
 9.5000000E+000, 3.0909442E+002, 3.1842602E+002, 3.3125234E+002, 3.5570971E+002, 3.7431128E+002, 3.9015550E+002, 2.5580693E+001, 3.1712200E+001, 4.7001047E+001, 8.2698163E+001, 9.8797071E+001, 1.0002367E+002
 1.1500000E+001, 2.9603082E+002, 2.9740647E+002, 3.0043598E+002, 3.1127773E+002, 3.2466282E+002, 3.3209199E+002, 4.3984466E+000, 4.1386968E+000, 9.1473136E+000, 3.1464430E+001, 4.9735569E+001, 5.4939298E+001
